iter	Passed	Remaining
0	170	84997
1	189	47258
2	207	34401
3	223	27739
4	240	23852
5	261	21539
6	279	19690
7	297	18311
8	315	17239
9	332	16309
10	352	15648
11	369	15038
12	388	14560
13	405	14083
14	420	13609
15	437	13239
16	455	12931
17	473	12667
18	493	12496
19	511	12275
20	527	12040
21	544	11837
22	563	11696
23	582	11543
24	603	11457
25	625	11398
26	648	11366
27	671	11320
28	691	11226
29	713	11178
30	733	11101
31	754	11040
32	773	10946
33	792	10862
34	811	10782
35	828	10674
36	845	10579
37	863	10496
38	880	10412
39	898	10333
40	916	10259
41	935	10200
42	953	10128
43	969	10046
44	985	9968
45	1004	9912
46	1021	9849
47	1038	9779
48	1057	9730
49	1076	9690
50	1095	9644
51	1113	9589
52	1129	9529
53	1147	9474
54	1164	9421
55	1184	9390
56	1204	9358
57	1224	9327
58	1241	9277
59	1265	9280
60	1282	9227
61	1300	9186
62	1318	9144
63	1337	9111
64	1354	9063
65	1370	9013
66	1389	8977
67	1405	8930
68	1423	8891
69	1441	8851
70	1462	8839
71	1482	8811
72	1499	8769
73	1516	8728
74	1535	8700
75	1551	8658
76	1568	8617
77	1585	8576
78	1601	8533
79	1617	8494
80	1633	8452
81	1650	8413
82	1670	8393
83	1688	8363
84	1706	8329
85	1724	8299
86	1744	8282
87	1765	8267
88	1783	8235
89	1801	8205
90	1819	8176
91	1835	8138
92	1850	8100
93	1867	8064
94	1883	8030
95	1901	8002
96	1918	7971
97	1935	7939
98	1951	7905
99	1970	7880
100	1986	7847
101	2002	7815
102	2021	7792
103	2043	7780
104	2060	7752
105	2076	7719
106	2094	7691
107	2110	7659
108	2130	7641
109	2147	7613
110	2164	7585
111	2181	7557
112	2197	7525
113	2213	7493
114	2229	7463
115	2246	7436
116	2266	7420
117	2319	7507
118	2370	7588
119	2406	7621
120	2425	7596
121	2453	7603
122	2470	7572
123	2487	7542
124	2505	7516
125	2523	7490
126	2543	7470
127	2560	7441
128	2578	7416
129	2596	7389
130	2617	7371
131	2635	7347
132	2654	7323
133	2673	7302
134	2691	7275
135	2709	7251
136	2726	7223
137	2746	7204
138	2765	7182
139	2783	7156
140	2804	7140
141	2827	7129
142	2846	7106
143	2866	7086
144	2887	7070
145	2911	7060
146	2933	7045
147	2959	7038
148	2980	7020
149	3000	7000
150	3021	6982
151	3040	6962
152	3059	6939
153	3076	6912
154	3097	6895
155	3116	6872
156	3134	6847
157	3151	6821
158	3170	6800
159	3190	6779
160	3208	6756
161	3227	6734
162	3245	6710
163	3264	6687
164	3284	6668
165	3304	6648
166	3324	6628
167	3347	6615
168	3367	6596
169	3387	6576
170	3406	6554
171	3425	6533
172	3446	6514
173	3467	6496
174	3486	6475
175	3504	6451
176	3521	6426
177	3540	6405
178	3558	6382
179	3578	6362
180	3596	6338
181	3614	6315
182	3631	6290
183	3651	6270
184	3669	6247
185	3688	6227
186	3711	6212
187	3733	6196
188	3751	6173
189	3769	6150
190	3789	6130
191	3810	6113
192	3831	6094
193	3849	6072
194	3869	6051
195	3886	6027
196	3902	6002
197	3921	5981
198	3940	5960
199	3959	5939
200	3979	5919
201	4001	5902
202	4020	5882
203	4040	5862
204	4060	5842
205	4078	5820
206	4097	5799
207	4115	5776
208	4133	5755
209	4154	5737
210	4175	5718
211	4194	5698
212	4214	5678
213	4232	5656
214	4251	5636
215	4271	5616
216	4293	5599
217	4311	5577
218	4329	5555
219	4347	5533
220	4364	5509
221	4381	5486
222	4397	5462
223	4415	5440
224	4434	5419
225	4452	5398
226	4471	5377
227	4491	5357
228	4508	5335
229	4529	5317
230	4547	5295
231	4565	5273
232	4586	5255
233	4605	5234
234	4623	5213
235	4643	5194
236	4661	5172
237	4680	5152
238	4698	5130
239	4729	5123
240	4750	5105
241	4768	5084
242	4785	5060
243	4801	5037
244	4818	5015
245	4834	4992
246	4851	4969
247	4868	4947
248	4888	4927
249	4904	4904
250	4920	4881
251	4936	4858
252	4953	4835
253	4969	4813
254	4987	4791
255	5004	4769
256	5022	4749
257	5039	4726
258	5054	4703
259	5070	4680
260	5088	4659
261	5104	4636
262	5120	4614
263	5136	4591
264	5151	4568
265	5170	4548
266	5190	4529
267	5212	4512
268	5232	4493
269	5253	4475
270	5272	4455
271	5291	4435
272	5311	4416
273	5329	4395
274	5349	4376
275	5366	4355
276	5386	4336
277	5404	4316
278	5424	4296
279	5441	4275
280	5462	4257
281	5480	4236
282	5497	4215
283	5518	4196
284	5538	4178
285	5557	4158
286	5579	4140
287	5600	4122
288	5618	4102
289	5635	4081
290	5653	4060
291	5673	4041
292	5690	4020
293	5709	4000
294	5731	3982
295	5748	3962
296	5766	3941
297	5783	3920
298	5800	3899
299	5819	3879
300	5836	3858
301	5853	3837
302	5872	3818
303	5890	3797
304	5908	3777
305	5927	3757
306	5943	3736
307	5962	3716
308	5979	3695
309	5996	3675
310	6014	3654
311	6032	3634
312	6048	3613
313	6068	3594
